مرحبًا.	Hi.
هل انتهيت من استعمال الهاتف؟	Are you through with the phone?
ألم ننس شيئاً؟	Aren't we forgetting something?
على حد علمي، هو شخص أمين.	As far as I know, he is honest.
اسألها متى سيعود.	Ask her when he will come back.
تطير النحلات من زهرة إلى زهرة.	Bees fly from flower to flower.
أحضر لي الجريدة من فضلك.	Bring me the newspaper, please.
من فضلك أحضر لي جريدة اليوم.	Bring me today's paper, please.
هل يمكنني أن أطرح عليك بعض الأفكار؟	Can I run a few ideas past you?
هل يمكنني أن آخذ بعض العينات؟	Can I take some of the samples?
أيمكنك أن تغلّف هذا كالهدايا، من فضلك؟	Can you gift-wrap this, please?
هل بإمكانك أن تعطيني وسادة أخرى؟	Can you give me another pillow?
أيمكنك أن تجاري سرعته في السباحة؟	Can you swim as fast as he can?
هل تستطيع التمييز بين القمح والشعير؟	Can you tell wheat from barley?
ألا يمكنك البقاء أطول قليلاً؟	Can't you stay a little longer?
هيا. دعنا نخرج من هنا.	Come on. Let's get out of here.
هيا. دعينا نخرج من هنا.	Come on. Let's get out of here.
هيا. دعونا نخرج من هنا.	Come on. Let's get out of here.
أيمكنك المجيء إلى هنا، رجاءًا.	Could you come in here, please.
هل أتى بالباص أم بالقطار؟	Did he come by bus or by train?
هل تعلم ان السلطعون يأكل الشراغف	Did you know carp eat tadpoles?
هل رأيت وجه الرامي؟	Did you see the shooter's face?
هل رأيت وجه مطلق النار؟	Did you see the shooter's face?
هل تملك رخصة قيادة؟	Do you have a driver's license?
هل لديك صديق يسمى توم ؟	Do you have a friend named Tom?
أعندك غرفة تخصك؟	Do you have a room of your own?
أيمكنك صرف خمسين؟	Do you have change for a fifty?
هل تنوي القدوم غدًا؟	Do you intend to come tomorrow?
هل تعرف كيف تقود سيارة؟	Do you know how to drive a car?
أيمكنك قيادة سيارة؟	Do you know how to drive a car?
هل تعرف كيف تصلح التلفاز؟	Do you know how to fix this TV?
هل تحب لعب الكرة الطائرة؟	Do you like playing volleyball?
هل تريد أن تفعلها الآن؟	Do you want to do it right now?
هل يبدو هذا مألوفا لك؟	Does this look familiar to you?
لا تُصلحهُ إذا لم يكن منكسراً.	Don't fix it if it ain't broke.
لا تنسى ميعادنا غدا.	Don't forget our date tomorrow.
لا تنس إدخال الكلب.	Don't forget to let the dog in.
لا تنس أن تقدّم إكراميّة للنّادل.	Don't forget to tip the waiter.
لا تقلق بشأن أمر كهذا.	Don't worry about such a thing.
الإنجليزية هي لغة جِرمانية.	English is a Germanic language.
كل شخص لديه آرائه الخاصّة.	Everyone has their own opinion.
يمكن للجميع أن يشارك.	Everyone is free to contribute.
القليل يعرف الخطة.	Few people know about the plan.
القليل يعرف أي شيء عن الخطة.	Few people know about the plan.
لن يحل الشجار شيئاً.	Fighting won't settle anything.
لن يحل القتال أي شيء.	Fighting won't settle anything.
أخيراً وصلنا للبحيرة.	Finally we arrived at the lake.
هل سلّمت تقريرك؟	Have you turned in your report?
سألني بضعة أسئلة.	He asked a few questions of me.
سألني إذا كنت مشغولاً.	He asked me whether I was busy.
جاء ليطلب مساعدتنا.	He came to ask us for our help.
أتى ليطلب منا المساعدة.	He came to ask us for our help.
بالكاد يستطيع كتاب اسمه.	He can scarcely write his name.
هو قبض عليهم يسرقون التفاح	He caught them stealing apples.
يدعي أنه رسام.	He claims that he is a painter.
دمج فكرتين في فكرة.	He combined two ideas into one.
ركز في دراسته.	He concentrated on his studies.
لم يستطِع أن يسيطر على غضبه.	He could not control his anger.
أبلى في الامتحان بلاءً حسنا.	He did well in the examination.
اختفى بلا أثر.	He disappeared without a trace.
اختفى فلم يُرَ له أثر.	He disappeared without a trace.
أُلقي خارج المنزل.	He got thrown out of the house.
عنده كثيرٌ من الأفكار الإبداعية.	He has a lot of original ideas.
عرّفني بأختها.	He introduced her sister to me.
عرّفني بأخته.	He introduced his sister to me.
إنه يخافُ من خيالهِ.	He is afraid of his own shadow.
عاش خارج البلاد لسنوات عدة.	He lived abroad for many years.
يعيش في عالم من الخيال.	He lives in a world of fantasy.
لقد استعاد محفظته المسروقة.	He recovered his stolen wallet.
أخذ صورة للكوالا.	He took a picture of the koala.
صوّر الكوالا.	He took a picture of the koala.
حاولت أن أجعله يساعدني.	He tried to get me to help him.
حاول أن يكتب قصةً قصيرةً.	He tried writing a short story.
حاول أن يكتب أقصوصة.	He tried writing a short story.
لقد عوقب على جرائمه.	He was punished for his crimes.
جرح كتفه.	He was wounded in the shoulder.
جُرح في كتفه.	He was wounded in the shoulder.
من يضحك أخيرًا يضحك كثيرًا.	He who laughs last laughs best.
سيضطرّ لنسيانك.	He'll have to forget about you.
هو قادر على نسيان وعده.	He's apt to forget his promise.
حلمها هو أن تصبح ممرضة.	Her dream is to become a nurse.
تكتب أمها رسالةً.	Her mother is writing a letter.
ما رأيك في ذلك الآن؟	How do you feel about that now?
كم تفاحة أكلت؟	How many apples have you eaten?
كم شخصًا دعوت؟	How many people did you invite?
بكم هذه الدراجة الجبلية؟	How much is that mountain bike?
سألته إن كان يعرف إسمي.	I asked him if he knew my name.
طلبت منه فتح النافذة.	I asked him to open the window.
سألته إلى أين سيذهب.	I asked him where he was going.
سألته إلى أي مكان هو ذاهب.	I asked him where he was going.
صنعتُ مُضَخِّمًا أمس.	I built an amplifier yesterday.
لا أستطيع أن أعيش حياةً كتِلْك.	I can't live that kind of life.
لا أستطيع أن أعيش ذلك النوع من الحياة.	I can't live that kind of life.
لا أعرف كيف يُفعل ذلك.	I cannot tell how this is done.
أمسكت فراشة جميلة.	I caught a beautiful butterfly.
لم اتوقع ان تكون هنا .	I didn't expect you to be here.
لم أعلم أنه شَرِبَ كثيرًا.	I didn't know he drank so much.
لم أعرف أنها مريضة.	I didn't know that she was ill.
لم أكن على علم بمرضها.	I didn't know that she was ill.
لم أعلم أنّها كانت مريضة.	I didn't know that she was ill.
لا أصدق أنه محام.	I don't believe he is a lawyer.
أنا لا أؤمن بالحكايات الخرافية.	I don't believe in fairy tales.
أنا حتى لا أعرف ما ذلك.	I don't even know what that is.
لم أعد أشعر بالأمان هنا.	I don't feel safe here anymore.
لا أعرف كيف، لكنّي فعلتها.	I don't know how, but I did it.
لا أعرف إن كنا نحتاج ذلك.	I don't know if we needed that.
أنا لا اعرف ما يحصل هنا.	I don't know what happens here.
أنا لا أعرف ما يجري هنا.	I don't know what happens here.
أنا لا أحب السباحة في برك السباحة.	I don't like swimming in pools.
لا أحب الطريقة التي يتكلم بها.	I don't like the way he speaks.
لا أريد الذهاب إلى هناك مرة أخرى.	I don't want to go there again.
لا أريد أن أراه بعد الآن.	I don't want to see him at all.
لا أريد أن أنتظر هذا أطول.	I don't want to wait that long.
أشك أنني سأنهي هذا اليوم.	I doubt I'll finish this today.
أشعر بارتباكٍ في حضوره.	I feel awkward in his presence.
يصعب عليّ تصديق ذلك.	I find it difficult to believe.
أنا أنسى رقم هاتفك.	I forget your telephone number.
أعطيتها كل المال الذي أملكه.	I gave her all the money I had.
أعطيته كل ما كان عندي من المال.	I gave him all the money I had.
استيقظت السابعة صباحاً.	I got up at seven this morning.
سُرقت سيارتي بالأمس.	I had my car stolen last night.
سُرقت سيارتي ليلة أمس.	I had my car stolen last night.
سُرقت سيارتي ليلة البارحة.	I had my car stolen last night.
لدي ألم في اصبع قدمي الصغير.	I have a pain in my little toe.
يجب أن أذهب إلى البنك اليوم.	I have to go to the bank today.
آمل أن تتحقق أحلامي.	I hope my dream will come true.
آمل ألا يحدث هذا ثانيةً.	I hope this won't happen again.
آمل ان لا تخبر توم بذلك	I hope you don't tell Tom that.
اعمل انك لن تفعل هذا	I know that you didn't do that.
أحب توم لأنه أمين.	I like Tom because he's honest.
أحب لعب التنس والغولف.	I like playing tennis and golf.
أحب طعم البطيخ.	I love the taste of watermelon.
أنا أُحب أن أُجرب لأفعل أشياء جديدة.	I love trying to do new things.
أردت الاتصال بك ولكني نسيت.	I meant to phone, but I forgot.
قابلته في عدة مناسبات.	I met him on several occasions.
علي شحن هاتفي الجوال.	I need to charge my cell phone.
احتجت إلى ثلاثة لترات من الدم.	I needed three liters of blood.
أنا مدينٌ بنجاحي لهم لمساعدتهم لي.	I owe my success to their help.
أعدك أنّني لن أخذلك.	I promise I won't let you down.
حقا أريد رؤيتك اليوم.	I really wish to see you today.
رأيتك راكباً سيارتك الجديدة.	I saw you driving your new car.
لا يَجِبُ عَليَّ فِعلُ ذلِك أَبَداً	I should never have to do that.
وقفت في آخر الصف.	I stood at the end of the line.
أقترح بأن تعمل بما يقوله توم.	I suggest you do what Tom says.
أستحم كل يوم تقريباً.	I take a bath almost every day.
أنا أفكر فيك طوال اليوم.	I think about you all day long.
اعتقد بأنه يمكننا مساعدة بعضنا البعض.	I think we can help each other.
أعتقد أننا يجب أن نفعل المزيد.	I think we should do some more.
ظننت أنك لن تأتِ لهنا.	I thought you'd never get here.
أنا أخذت تلك الصورة قبل إسبوع.	I took that picture a week ago.
أريد إجابة منك في أسرع وقت ممكن.	I want an answer from you ASAP.
أريد أن أشرب فنجاناً من القهوة.	I want to have a cup of coffee.
أريد تعلم لغة جديدة.	I want to learn a new language.
أريد أن أعرف المزيد عن توم.	I want to learn more about Tom.
أريد أن أقول لك شيئاً.	I want to say something to you.
أخّرني زحام السير.	I was delayed by a traffic jam.
دُعيتُ إلى عرسهما.	I was invited to their wedding.
تأخرت بسبب المطر.	I was late because of the rain.
تأخرتُ على الموعد.	I was late for the appointment.
خُدِعتُ من قبل البائع.	I was taken in by the salesman.
ذهبت للنوم متأخراً أكثر من العادة.	I went to bed later than usual.
ذهبت إلى المدرسة الثانوية مع توم.	I went to high school with Tom.
استيقظت في الخامسة هذا الصباح.	I woke up at five this morning.
أعمل كل يوم عدا يوم الأحد.	I work every day except Sunday.
أعمل كل يوم ما عدا يوم الأحد.	I work every day except Sunday.
أعمل كل يوم إلا يوم الأحد.	I work every day except Sunday.
أود أن أطرح سؤالاً.	I would like to ask a question.
أود أن أسأل سؤال.	I would like to ask a question.
أود أن أقدم على طلب.	I would like to make a request.
أفضل الغناء على الرقص.	I would rather sing than dance.
ما كنتُ لأفعله لو كنت مكانك.	I wouldn't do it if I were you.
سأفعل أيّ شيء لحمايتك.	I'd do anything to protect you.
أود أن أطلب منك معروفا.	I'd like to ask a favor of you.
أريد البقاء هنا معك.	I'd like to stay here with you.
سأعمل ما بوسعي لأجل توم.	I'll do anything I can for Tom.
سأترك القرار لك.	I'll leave the decision to you.
سأترك القرار الأخير لك.	I'll leave the decision to you.
لن أنسى ذلك الشعور أبدا.	I'll never forget that feeling.
أنا سعيدٌ لأنك استطعت المجيء.	I'm glad you were able to come.
سأبقی في المنزل الليلة.	I'm going to stay home tonight.
سُرِرتُ بنجاحِكَ.	I'm so glad that you succeeded.
أنا آسف لكن ذلك مستحيل.	I'm sorry, but it's impossible.
لقد بدأت أوافقك الرأي.	I'm starting to agree with you.
مازلت صغيرا جدا لافعل ذلك.	I'm still too young to do that.
أنا أدرس عدّة لغات.	I'm studying several languages.
أنا متأكد أن توم سيكون هنا قريباً.	I'm sure Tom will be here soon.
أنا متأكدة أن توم سيكون هنا قريباً.	I'm sure Tom will be here soon.
متأكد بأن توم سيفعل ذلك.	I'm sure that Tom will do that.
لقد رأيتك بمكان ما من قبل	I've seen you somewhere before.
البراءة شيءٌ جميل.	Innocence is a beautiful thing.
أهذا هو الطريق إلى المحطة؟	Is this the way to the station?
لقد امطرت طوال الليل	It rained throughout the night.
تبيّن في النهاية أنّني كنت على حق.	It turned out that I was right.
كان ذلك مساء خريفي جميل.	It was a lovely autumn evening.
كان الطقس باردًا هنا طوال شهر آذار- مارس.	It was cold here through March.
إن هذا للطفٌ منك.	It was nice of you to say that.
كان الجو حاراً جداً ظهيرة اليوم.	It was very hot this afternoon.
كان الجو حاراً جداً عصر اليوم.	It was very hot this afternoon.
لن يكون من السّهل نسيانك.	It won't be easy to forget you.
سوف يتوقف المطر قريبا	It'll stop raining before long.
لقد تجاوزت وقت نومك.	It's already past your bedtime.
تبعد عن باريس خمسين كيلومتراً.	It's fifty kilometers to Paris.
حرارة الطقس تتزايد.	It's getting warmer and warmer.
لن تكون بتلك السهولة.	It's not going to be that easy.
مِنَ الغَريبِ أَنَّ توم فَعَلَ ذلِك	It's strange that Tom did that.
لن تستفيد من المقاومة فلا تحاول.	It's useless to try and resist.
اليابان بلد صناعي.	Japan is an industrial country.
احفظ المال في مكان آمن.	Keep the money in a safe place.
كييف هي عاصمة اوكرانيا.	Kyiv is the capital of Ukraine.
كيوتو ليست كبيرة كأوساكا.	Kyoto is not as large as Osaka.
نهاية الإسبوع الماضية كانت مملة لي.	Last weekend was boring for me.
دعني أساعدك في عملك.	Let me help you with your work.
لنتقابل هنا مرة أخرى في الغد.	Let's meet here again tomorrow.
لنلعب كرة المضرب بعد المدرسة.	Let's play tennis after school.
لنلعب التنس بعد انتهاء الدراسة.	Let's play tennis after school.
دعونا نفكر بذلك للحظة	Let's ponder that for a moment.
لنغني بالإنجليزية.	Let's sing the song in English.
لنغني هذه الأغنية بالإنجليزية.	Let's sing the song in English.
دعونا نقسم الفاتورة بأربعة طرق.	Let's split the bill four ways.
دعنا نقسم الفاتورة بأربعة طرق.	Let's split the bill four ways.
دعينا نقسم الفاتورة بأربعة طرق.	Let's split the bill four ways.
دعونا نقم برحلة إلى أستراليا	Let's take a trip to Australia.
دعونا نتكلم عن شخص ٱخر . أ	Let's talk about somebody else.
الحياة في قرية صغيرة مملة.	Life in a small town is boring.
مدريد عاصمة أسبانيا.	Madrid is the capital of Spain.
مدريد هي عاصمة أسبانيا.	Madrid is the capital of Spain.
عاصمة أسبانيا هي مدريد.	Madrid is the capital of Spain.
فُتحت الكثير من المصانع الجديدة.	Many new factories have opened.
هل لي أن أخرج لمشاهدة فيلم الليلة؟	May I go to the movies tonight?
يمكن للحصبة أن تكون خطيرةً.	Measles can be quite dangerous.
أمي وأبي يتشاجران ثانية.	Mom and Dad are fighting again.
يحب معظم الأمريكيين الهمبرجر.	Most Americans like hamburgers.
أحب أكثر الأمريكيين روزفلت.	Most Americans liked Roosevelt.
سقطت معظم الأوراق.	Most of the leaves have fallen.
كان جبل فوجي مغطى بالثلج.	Mt. Fuji was covered with snow.
حقيبتي مليئة بالأوراق.	My briefcase is full of papers.
أصبح أخي راهبا	My brother has become a priest.
أخي في أستراليا حالياً.	My brother is now in Australia.
أخي صغير لكنه قوي.	My brother is small but strong.
أخي صغير البنية إلا أنه قوي.	My brother is small but strong.
يحب أخي مشاهدة أفلام الرعب.	My brother likes horror movies.
معدل الكلسترول في دمي عالٍ.	My cholesterol levels are high.
معدلات الكولسترول في دمي عالية.	My cholesterol levels are high.
يذهب معي كلبي إلى أي مكان أذهب إليه.	My dog goes everywhere with me.
يرافقني كلبي إلى أي مكان.	My dog goes everywhere with me.
يرافقني كلبي في كل مكان أذهب إليه.	My dog goes everywhere with me.
عادة ما يستلقي كلبي على العشب.	My dog often lies on the grass.
يذهب أبي إلى العمل بالدراجة.	My father goes to work by bike.
يركب أبي الدراجة إلى عمله.	My father goes to work by bike.
والدي يعيش في الريف.	My father lives in the country.
جعلني أبي أغسل السيارة.	My father made me wash the car.
أرغمني أبي على غسل السيارة.	My father made me wash the car.
رقصتي المفضلة هي التانجو.	My favorite dance is the tango.
موسيقايَ المضلة هي موسيقى البوب.	My favorite music is pop music.
شعري ليس بطول شعر توم.	My hair isn't as long as Tom's.
هوايتي هي جمع الحشرات.	My hobby is collecting insects.
هوايتي هي العزف على الجيتار.	My hobby is playing the guitar.
زوجي طباخ ماهر.	My husband is a very good cook.
أمي لا يمكنها ركوب الدراجة.	My mother can't ride a bicycle.
لا تستطيع أمي أن تركب الدراجة.	My mother can't ride a bicycle.
خط أمي جميل.	My mother has good handwriting.
صنعت لي أمي تنورة جميلة.	My mother made me a cute skirt.
تعزف أمي على البيانو بمهارة.	My mother plays the piano well.
أمي تعزف البيانو بمهارة.	My mother plays the piano well.
يعيش أبويّ في القرية.	My parents live in the country.
ستنطلق طائرتي عند الساعة السادسة.	My plane leaves at six o'clock.
ستغادر الطائرة الساعة السادسة.	My plane leaves at six o'clock.
حذائي أكبر من حذائك.	My shoes are bigger than yours.
ترتاد أختي الجامعة.	My sister goes to a university.
تدرس أختي في الجامعة.	My sister goes to a university.
يسكن عمي في شقة.	My uncle lives in an apartment.
يعيش عمي في شقة سكنية.	My uncle lives in an apartment.
يعيش عمي قرب المدرسة.	My uncle lives near the school.
سُرقت محفظتي بالأمس.	My wallet was stolen yesterday.
أريد أن أتخرج الربيع القادم.	Next spring I want to graduate.
لا شيء من هذا حدث.	None of that actually happened.
الآن، اسمح لي أن أطرح عليك سؤالاً.	Now, let me ask you a question.
ضاعت إحدى حقائبي.	One of my suitcases is missing.
والدنا يذهب الي العمل بالسيارة.	Our father goes to work by car.
مدرستنا قريبة من المحطة.	Our school is near the station.
تأسست مدرستنا عام ۱۹۹۰م.	Our school was founded in 1990.
باريس عاصمة فرنسا.	Paris is the capital of France.
باريس هي عاصمة فرنسا.	Paris is the capital of France.
لربما جاءت غداً.	Perhaps she will come tomorrow.
ربما يجب ان تفعل ذلك الآن.	Perhaps you should do that now.
الفيزياء هي مادتي المفضلة.	Physics is my favorite subject.
إن لعب كرة المضرب ممتع.	Playing tennis is a lot of fun.
من فضلك أضف اسمي إلى اللائحة.	Please add my name to the list.
رجاءً ضع دائرة حول الجواب الصحيح.	Please circle the right answer.
اجعل أحداً آخر يقوم بذلك إذا سمحت.	Please have someone else do it.
ساعدني في تنظيف البيت من فضلك.	Please help me clean the house.
من فضلك خذني إلى المستشفى.	Please take me to the hospital.
احكي لي عن رحلة سفرك من فضلك.	Please tell me about your trip.
من فضلك أطفأ التلفاز.	Please turn off the television.
زد بعض الحطب إلى النار.	Put some more wood on the fire.
أعد الكتاب إلى مكانه.	Put the book back where it was.
اتهمتني بالكذب.	She accused me of being a liar.
اتهمتني بأني كاذب.	She accused me of being a liar.
هي و أصدقاءها يحبون الموسيقى.	She and her friends love music.
و كأنها لديها صداع.	She appears to have a headache.
سألت سؤالاً مهماً.	She asked a very good question.
سألتني إلى أين سأذهب.	She asked me where I was going.
اشترت لعبة لطفلها.	She bought a toy for her child.
أحضرت لي كأساً من الشاي.	She brought a cup of tea to me.
اتصلت بي بعد الظهر.	She called me in the afternoon.
لا يمكنها عزف البيانو بتلك المهارة.	She can't play piano very well.
نزلت عن السقف.	She climbed down from the roof.
أعدت لنفسها طعاماً شهياً.	She cooked herself a good meal.
أعدت لنا وجبة رائعة.	She cooked us a wonderful meal.
قطعت التفاحة بالسكين.	She cut the apple with a knife.
ملأت كيسها بالتفاح.	She filled her bag with apples.
ملأت الكأس بالخمر.	She filled the glass with wine.
عثرت على كرة في الحديقة.	She found a ball in the garden.
وجدت طابة في الحديقة.	She found a ball in the garden.
حصلت على علامة جيدة في مادة الإنجليزية.	She got good grades in English.
عندها الكثير من الكتب الإنجليزية.	She has a lot of English books.
صوتها ناعم و واضح.	She has a soft and clear voice.
لم يسبق لها أن زارت هوكايدو.	She has never been to Hokkaido.
لها القليل من الأصدقاء المقربين.	She has very few close friends.
ساعدتني في حزم حقيبتي.	She helped me pack my suitcase.
إنها تأمل أن تصبح مصممة أزياء.	She hopes to become a designer.
هي ترتدي خاتماً قيماً.	She is wearing a valuable ring.
تركت قفازيها في السيارة.	She left her gloves in the car.
إنها تحب البرتقال، أليس كذلك؟	She likes oranges, doesn't she?
إنها تعيش في بيت ذا طابقين.	She lives in a two-story house.
تبدو كأنها سكرانة.	She looks as if she were drunk.
بدت كأنها سكرت.	She looks as if she were drunk.
تبدو جميلة في هذا الرداء.	She looks pretty in that dress.
شكلها فاتن في ذلك الفستان.	She looks pretty in that dress.
من الممكن ألا تأتي غداً.	She may not come here tomorrow.
من الممكن أنها لن تأتي غداً.	She may not come here tomorrow.
عزفت لحناً على البيانو.	She played a tune on the piano.
إنها تعزف على الكمان بمهارة.	She plays the violin very well.
هي قدمت لي بعض الطعام.	She provided me with some food.
هي ذودتني ببعض الطعام.	She provided me with some food.
نادراً ما تخرج أيام الأحد.	She rarely goes out on Sundays.
طلبت مني أن أفتح النافذة.	She told me to open the window.
رفضت دعوته.	She turned down his invitation.
كان من طبيعتها أنها فتاة خجولة جداً.	She used to be a very shy girl.
كان من عادتها أنها كانت تزورني باستمرار.	She used to visit me regularly.
كانت تزورني باستمرار.	She used to visit me regularly.
انتظرت لساعات و ساعات.	She waited for hours and hours.
تدفأت علي النار .	She warmed herself by the fire.
حذرته من الذهاب وحده.	She warned him not to go alone.
إنها خائفة من السفر وحدها.	She was afraid to travel alone.
كادت أن تتأخر عن المدرسة.	She was almost late for school.
اعتقلتها الشرطة.	She was arrested by the police.
قامت الشرطة باعتقالها.	She was arrested by the police.
دفنت في مسقط رأسها.	She was buried in her hometown.
أوشكت على البكاء.	She was on the verge of crying.
كادت أن تبكي.	She was on the verge of crying.
ستعود في غضون أسبوع.	She will be back within a week.
هل نذهب بالسيارة أم بالتكسي؟	Should we go by car or by taxi?
ما رأيك ، أنذهب بالسيارة أم بالتاكسي؟	Should we go by car or by taxi?
اغلق جميع الأبواب والنوافذ.	Shut all the doors and windows.
تم كَسْرُ المِرْآة	Somebody has broken the mirror.
توقف وإلا سأسحب السيارة اكثر.	Stop or I'll pull the car over!
ادرس بجد و ستنجح.	Study hard, and you'll succeed.
يحدث ذلك كثيراً.	Such a thing occurs frequently.
الأحد ليس يوم عمل بالنسبة لي.	Sunday is not a workday for me.
السباحة ليلاً خطرة.	Swimming at night is dangerous.
وضح لي ما تريدني أن أفعل.	Tell me what you want me to do.
نشكرك لمجيئك عندنا الليلة.	Thanks for coming over tonight.
شكراً لقدومك لزيارتنا.	Thanks for coming over tonight.
لا يبدو هذا عادلا إطلاقا.	That doesn't seem right at all.
ذلك فقط رأيٌ شخصي.	That's just a personal opinion.
بكى الطفل حتى نام.	The baby cried itself to sleep.
بكى المولود إلى أن نام.	The baby cried itself to sleep.
لا يكون المصرف مفتوحاً أيام الأحد.	The bank isn't open on Sundays.
أعطى رئيس العمل الكل إجازة.	The boss gave us all a day off.
المبنى به عشرون طابق.	The building has twenty floors.
سيغادر الباص في غضون خمس دقائق.	The bus leaves in five minutes.
ستنطلق الحافلة بعد خمس دقائق.	The bus leaves in five minutes.
مُلئت الحافلة.	The bus was filled to capacity.
إصطدمت السيارة بالشاحنة.	The car crashed into the truck.
دمر الحريق المدينة.	The city was destroyed by fire.
دُمرت المدينة بسبب الحريق.	The city was destroyed by fire.
نبح الكلب في وجه الغريب.	The dog barked at the stranger.
زاد السائق من سرعة سيارته.	The driver accelerated his car.
تسارع السائق بسيارته.	The driver accelerated his car.
الأرض تدور حول الشمس.	The earth moves around the sun.
هاجمنا العدو ليلاً.	The enemy attacked us at night.
حدّق جميع طلاب الصف في وجه سامي.	The entire class stared at Tom.
ظل الباب مغلقاً.	The front door remained locked.
انتهت المباراة الساعة التاسعة.	The game ended at nine o'clock.
يجب إصلاح نظام التسخين.	The heating has to be repaired.
افتُتحت المستشفى الشهر الماضي.	The hospital opened last month.
قاست الممرضة حرارته.	The nurse took his temperature.
حدث الأمر ذاته يوم الإثنين.	The same thing happened Monday.
سيقام حفل زفافهم غداً.	Their wedding will be tomorrow.
هناك الكثير من الفنادق في وسط المدينة.	There are many hotels downtown.
هناك تفاحة واحدة على المكتب.	There is one apple on the desk.
هناك وحش تحت سريري.	There's a monster under my bed.
هناك برتقالة على الطاولة.	There's an orange on the table.
ليس هناك أي غيوم في السماء.	There's not a cloud in the sky.
لا يوجد أي شيء مدعاة للفخر.	There's nothing to be proud of.
ليس هناك ما نفخر به.	There's nothing to be proud of.
هذا الحذاء كبير عليّ.	These shoes are too big for me.
وصلوا واحداً خلف الآخر.	They arrived one after another.
بدأوا واحداً تلو الآخر.	They started one after another.
درسوا الإنجليزية البارحة.	They studied English yesterday.
استمروا في الحديث لساعات.	They went on talking for hours.
لم تكن في المنزل البارحة.	They weren't at home yesterday.
انهم يعانون من الملاريا.	They're suffering from malaria.
لا بد أن لهذا معنى.	This has got to mean something.
هذا لا يخصني.	This has nothing to do with me.
بُني هذا الفندق العام الماضي.	This hotel was built last year.
هذا قائمة ما نحتاج.	This is a list of what we need.
هذه الترجمة غير دقيقة.	This translation is inaccurate.
كان ذلك أمله الوحيد.	This was his one and only hope.
توم وماري يستعدان.	Tom and Mary are getting ready.
يلعب توم وماري الشطرنج.	Tom and Mary are playing chess.
لتوم وماري مزرعة صغيرة.	Tom and Mary have a small farm.
سافر توم وماري معا.	Tom and Mary traveled together.
ذهب توم وماري إلى الشاطئ.	Tom and Mary went to the beach.
طلب توم من ماري التوقف عن الغناء.	Tom asked Mary to stop singing.
طلب توم من ماري إيقاف السيارة.	Tom asked Mary to stop the car.
هاجم توم ماري بسكّين.	Tom attacked Mary with a knife.
اشترى توم كاميرا رخيصةً جدا.	Tom bought a very cheap camera.
توم يسبب لي الكثير من المتاعب.	Tom causes me a lot of trouble.
لا يفكّر توم بالآخرين.	Tom doesn't think about others.
توم لا يثق بماري بعد الآن.	Tom doesn't trust Mary anymore.
توم نامَ خِلالَ الفيلم	Tom dozed off during the movie.
نسيَ سامي إيقاف الميكرفون.	Tom forgot to turn his mic off.
توم حصل على هذه الدراجة من ماري.	Tom got that bicycle from Mary.
حصل توم على هذه التذاكر بالمجان.	Tom got these tickets for free.
لتوم المقدرة على فعل ذلك.	Tom has the ability to do that.
لم يقرأ توم الرسالة بعد.	Tom hasn't read the letter yet.
توم بقي معه دولاراً واحداً.	Tom is down to his last dollar.
سيتزوج توم أخيرا.	Tom is finally getting married.
سيبيع توم منزله.	Tom is going to sell his house.
توم يلعب الورق مع ماري.	Tom is playing cards with Mary.
توم مهتم جداً في موسيقى الجاز.	Tom is very interested in jazz.
توم يرغب بالوقوف إلى جانبك.	Tom is willing to stand by you.
توم مستعد لمساعدتك.	Tom is willing to stand by you.
أحب توم تسريحة شعر ماري الجديدة.	Tom liked Mary's new hairstyle.
مِنَ المُحتَملِ أنَّ توم لَنْ يُصَدِّقَك	Tom probably won't believe you.
قال توم بأنه رأى ماري البارحة.	Tom said he saw Mary yesterday.
ما يزال توم يظننا أصدقاء.	Tom still thinks we're friends.
خلع توم إحدى قفازيه	Tom took one of his gloves off.
لم يكن توم مرتديا بدله رماديه.	Tom wasn't wearing a gray suit.
صعد توم السلالم بسرعة.	Tom went quickly up the stairs.
سيساعدني توم في تنظيف غرفتي	Tom will help me clean my room.
تصرف توم غير مقبول.	Tom's behavior is unacceptable.
حواجب توم كثيفه	Tom's eyebrows are quite bushy.
السفر يوسع آفاق تفكير المرء.	Travel broadens one's horizons.
يمكننا أن نوصله الليلة.	We can deliver it this evening.
ناقشنا الخطة معه.	We discussed the plan with him.
ناقشناه عن الخطة.	We discussed the plan with him.
وجدنا الباب الأمامي مغلق.	We found the front door locked.
وجدنا الباب الرئيسي مقفل.	We found the front door locked.
لعبنا كرة السلة بالأمس.	We played basketball yesterday.
قضينا اليوم بطوله نصطاد السمك.	We spent the whole day fishing.
نحن ترتدي الزي الرسمي في مدرستنا.	We wear uniforms at our school.
كنا نتحدث عنك قبل قليل.	We were just talking about you.
لن نتزوّج.	We're not going to get married.
ماذا ترى في الصورة؟	What do you see in the picture?
ماذا ترين في الصورة؟	What do you see in the picture?
ماذا تظن نفسك فاعلاً؟	What do you think you're doing?
ما الذي تريد أن تتحدث عنه؟	What do you want to talk about?
ما رأي توم حيال هذا؟	What does Tom think about this?
ماذا حدث لطفلتك؟	What happened to your daughter?
أي نوع من الفواكه تريد؟	What kind of fruit do you want?
ما الذي جعلك تغير رأيك؟	What made you change your mind?
ماذا أفعل بالسكين؟	What shall I do with the knife?
